Proxy Path Suffix,Date Time,Sum of Traffic
,2015-04-24 05:47:00+0000,3
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:00:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:03:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:04:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:05:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:06:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:09:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:10:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:11:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:12:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:17:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:18:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:21:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:30:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:31:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:32:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:33:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:35:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:37:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:39:00+0000,2
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:40:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:41:00+0000,2
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:42:00+0000,3
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:44:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d8,2015-04-24 05:47:00+0000,1
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:00:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:03:00+0000,1
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:04:00+0000,1
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:05:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:06:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:09:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:10:00+0000,3
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:11:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:12:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:17:00+0000,2
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:18:00+0000,1
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:21:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:30:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:31:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:32:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:33:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:35:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:37:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:39:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:40:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:41:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:42:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:44:00+0000,0
/23a1897a-dff8-11e4-a0e6-0ff25c2bce70,2015-04-24 05:47:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:00:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:03:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:04:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:05:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:06:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:09:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:10:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:11:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:12:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:17:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:18:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:21:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:30:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:31:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:32:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:33:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:35:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:37:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:39:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:40:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:41:00+0000,2
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:42:00+0000,0
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:44:00+0000,1
/e8d3f75a-dff3-11e4-a0f9-97a9f1cfb1d,2015-04-24 05:47:00+0000,0
